Filename,Depth,Activations-Params,Activation Function,Total Activations,Total Parameters,Batch Size,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A,Conv2d Count,BatchNorm2d Count,Dropout Count,AdaptiveAvgPool2d Count,Linear Count
input_channels:3_num_classes:453_depth:22_arch:uniform_base_filters:98_batch:62_input_size:174_act:gelu_dropout:0.3442169060458645_dropout:True_batchnorm:False.out,0,"[('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0), ('GELU', 30276, 0), ('Dropout', 30276, 0)]",GELU,1332144,0,62,39517,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:167_depth:11_arch:pyramid_base_filters:70_batch:46_input_size:118_act:selu_dropout:0.19151156817540396_dropout:True_batchnorm:True.out,0,"[('SELU', 13924, 0), ('Dropout', 13924, 0), ('SELU', 13924, 0), ('Dropout', 13924, 0), ('SELU', 13924, 0), ('Dropout', 13924, 0), ('SELU', 13924, 0), ('Dropout', 13924, 0), ('SELU', 13924, 0), ('Dropout', 13924, 0), ('SELU', 13924, 0), ('Dropout', 13924, 0), ('SELU', 13924, 0), ('Dropout', 13924, 0), ('SELU', 13924, 0), ('Dropout', 13924, 0), ('SELU', 13924, 0), ('Dropout', 13924, 0), ('SELU', 13924, 0), ('Dropout', 13924, 0), ('SELU', 13924, 0), ('Dropout', 13924, 0)]",SELU,306328,0,46,36831,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:981_depth:29_arch:hourglass_base_filters:110_batch:10_input_size:102_act:softplus_dropout:0.170648409186261_dropout:False_batchnorm:False.out,0,"[('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0), ('Softplus', 10404, 0)]",Softplus,301716,0,10,23237,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:169_depth:2_arch:uniform_base_filters:32_batch:52_input_size:134_act:mish_dropout:0.4252372788964438_dropout:False_batchnorm:True.out,0,"[('Mish', 17956, 0), ('Mish', 17956, 0)]",Mish,35912,0,52,2789,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:685_depth:27_arch:residual_base_filters:18_batch:44_input_size:122_act:tanh_dropout:0.27334897812173853_dropout:False_batchnorm:True.out,0,"[('Tanh', 14884, 0), ('Tanh', 14884, 0), ('Tanh', 3721, 0), ('Tanh', 3721, 0), ('Tanh', 3721, 0), ('Tanh', 3721, 0), ('Tanh', 961, 0), ('Tanh', 961, 0), ('Tanh', 961, 0), ('Tanh', 961, 0), ('Tanh', 256, 0), ('Tanh', 256, 0), ('Tanh', 256, 0), ('Tanh', 256, 0), ('Tanh', 64, 0), ('Tanh', 64, 0)]",Tanh,49648,0,44,2629,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:895_depth:17_arch:bottleneck_base_filters:64_batch:56_input_size:16_act:gelu_dropout:0.24397616313556642_dropout:False_batchnorm:True.out,0,"[('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0), ('GELU', 256, 0)]",GELU,4352,0,56,4659,89.98387096774194,0.8574615384615386,0.8725454545454547,0.26518181818181824,0.018314814814814825,0,0,0,0,0
input_channels:1_num_classes:387_depth:15_arch:residual_base_filters:68_batch:2_input_size:78_act:gelu_dropout:0.15243320688471612_dropout:False_batchnorm:True.out,0,"[('GELU', 6084, 0), ('GELU', 6084, 0), ('GELU', 1521, 0), ('GELU', 1521, 0), ('GELU', 1521, 0), ('GELU', 1521, 0), ('GELU', 400, 0), ('GELU', 400, 0), ('GELU', 400, 0), ('GELU', 400, 0), ('GELU', 100, 0), ('GELU', 100, 0), ('GELU', 100, 0), ('GELU', 100, 0)]",GELU,20252,0,2,1857,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:300_depth:27_arch:hourglass_base_filters:122_batch:28_input_size:188_act:leaky_relu_dropout:0.35097002901905217_dropout:True_batchnorm:True.out,0,"[('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0), ('LeakyReLU', 35344, 0), ('Dropout', 35344, 0)]",LeakyReLU,1908576,0,28,37835,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:814_depth:6_arch:bottleneck_base_filters:105_batch:56_input_size:184_act:gelu_dropout:0.4043234507861373_dropout:True_batchnorm:True.out,0,"[('GELU', 33856, 0), ('Dropout', 33856, 0), ('GELU', 33856, 0), ('Dropout', 33856, 0), ('GELU', 33856, 0), ('Dropout', 33856, 0), ('GELU', 33856, 0), ('Dropout', 33856, 0), ('GELU', 33856, 0), ('Dropout', 33856, 0), ('GELU', 33856, 0), ('Dropout', 33856, 0)]",GELU,406272,0,56,38047,21.8,0.0626,0.001,0,0.004333333333333334,0,0,0,0,0
input_channels:3_num_classes:810_depth:4_arch:uniform_base_filters:59_batch:30_input_size:2_act:prelu_dropout:0.4178472899065261_dropout:False_batchnorm:False.out,0,[],None,0,0,30,0,48.5,0.298,0.618,0.123,0.017,0,0,0,0,0
input_channels:1_num_classes:956_depth:22_arch:uniform_base_filters:72_batch:30_input_size:150_act:prelu_dropout:0.16294183649715593_dropout:False_batchnorm:True.out,0,"[('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0)]",PReLU,495000,0,30,16061,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:435_depth:16_arch:residual_base_filters:120_batch:16_input_size:200_act:selu_dropout:0.2594242638726377_dropout:False_batchnorm:True.out,0,"[('SELU', 40000, 0), ('SELU', 40000, 0), ('SELU', 10000, 0), ('SELU', 10000, 0), ('SELU', 10000, 0), ('SELU', 10000, 0), ('SELU', 2500, 0), ('SELU', 2500, 0), ('SELU', 2500, 0), ('SELU', 2500, 0), ('SELU', 625, 0), ('SELU', 625, 0), ('SELU', 625, 0), ('SELU', 625, 0), ('SELU', 169, 0), ('SELU', 169, 0)]",SELU,132838,0,16,8843,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:157_depth:4_arch:pyramid_base_filters:61_batch:32_input_size:102_act:tanh_dropout:0.22763112287659637_dropout:False_batchnorm:False.out,0,"[('Tanh', 10404, 0), ('Tanh', 10404, 0), ('Tanh', 10404, 0), ('Tanh', 10404, 0)]",Tanh,41616,0,32,8899,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:100_depth:22_arch:residual_base_filters:81_batch:58_input_size:222_act:softplus_dropout:0.3868177844563978_dropout:False_batchnorm:True.out,0,"[('Softplus', 49284, 0), ('Softplus', 49284, 0), ('Softplus', 12321, 0), ('Softplus', 12321, 0), ('Softplus', 12321, 0), ('Softplus', 12321, 0), ('Softplus', 3136, 0), ('Softplus', 3136, 0), ('Softplus', 3136, 0), ('Softplus', 3136, 0), ('Softplus', 784, 0), ('Softplus', 784, 0), ('Softplus', 784, 0), ('Softplus', 784, 0), ('Softplus', 196, 0), ('Softplus', 196, 0), ('Softplus', 196, 0), ('Softplus', 196, 0), ('Softplus', 49, 0), ('Softplus', 49, 0)]",Softplus,164414,0,58,22297,0,0,0,0,0,0,0,0,0,0
