Filename,Depth,Activations-Params,Activation Function,Total Activations,Total Parameters,Batch Size,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A
input:1259_output:79_depth:8_arch:pyramid_batch:717.out,9,"[('linear', 629, 792540), ('ReLU', 629, 0), ('linear', 314, 197820), ('ReLU', 314, 0), ('linear', 157, 49455), ('ReLU', 157, 0), ('linear', 79, 12482), ('ReLU', 79, 0), ('linear', 79, 6320), ('ReLU', 79, 0), ('linear', 79, 6320), ('ReLU', 79, 0), ('linear', 79, 6320), ('ReLU', 79, 0), ('linear', 79, 6320), ('ReLU', 79, 0), ('linear', 79, 6320)]",ReLU,3069,1083897,717,1479,25.653846153846153,0.22060256410256415,0.09972727272727279,0.014621212121212132,0.05603076923076923
input:3503_output:95_depth:9_arch:uniform_batch:270.out,10,"[('linear', 3503, 12274512), ('ReLU', 3503, 0), ('linear', 3503, 12274512), ('ReLU', 3503, 0), ('linear', 3503, 12274512), ('ReLU', 3503, 0), ('linear', 3503, 12274512), ('ReLU', 3503, 0), ('linear', 3503, 12274512), ('ReLU', 3503, 0), ('linear', 3503, 12274512), ('ReLU', 3503, 0), ('linear', 3503, 12274512), ('ReLU', 3503, 0), ('linear', 3503, 12274512), ('ReLU', 3503, 0), ('linear', 3503, 12274512), ('ReLU', 3503, 0), ('linear', 95, 332880)]",ReLU,63149,110803488,270,3679,84.94871794871794,0.8397662337662338,0.7920571428571429,0.33285714285714274,0.45394029850746265
input:61_output:12_depth:5_arch:pyramid_batch:777.out,6,"[('linear', 30, 1860), ('ReLU', 30, 0), ('linear', 15, 465), ('ReLU', 15, 0), ('linear', 12, 192), ('ReLU', 12, 0), ('linear', 12, 156), ('ReLU', 12, 0), ('linear', 12, 156), ('ReLU', 12, 0), ('linear', 12, 156)]",ReLU,174,2985,777,1451,14.558441558441558,0.1407820512820513,0.004470588235294121,0.0010000000000000007,0.0010000000000000007
input:2039_output:479_depth:1_arch:uniform_batch:239.out,2,"[('linear', 2039, 4159560), ('ReLU', 2039, 0), ('linear', 479, 977160)]",ReLU,4557,5136720,239,1553,36.14102564102564,0.33906410256410247,0.2403823529411764,0.05113235294117649,0.13154545454545458
input:1428_output:311_depth:9_arch:gradual_batch:7.out,10,"[('linear', 1304, 1863416), ('ReLU', 1304, 0), ('linear', 1180, 1539900), ('ReLU', 1180, 0), ('linear', 1056, 1247136), ('ReLU', 1056, 0), ('linear', 932, 985124), ('ReLU', 932, 0), ('linear', 808, 753864), ('ReLU', 808, 0), ('linear', 684, 553356), ('ReLU', 684, 0), ('linear', 560, 383600), ('ReLU', 560, 0), ('linear', 436, 244596), ('ReLU', 436, 0), ('linear', 312, 136344), ('ReLU', 312, 0), ('linear', 311, 97343)]",ReLU,14855,7804679,7,1619,38.12658227848101,0.3795128205128204,0.22947222222222224,0.05374999999999994,0.033984848484848486
input:3783_output:605_depth:7_arch:gradual_batch:623.out,8,"[('linear', 3329, 12596936), ('ReLU', 3329, 0), ('linear', 2875, 9573750), ('ReLU', 2875, 0), ('linear', 2421, 6962796), ('ReLU', 2421, 0), ('linear', 1967, 4764074), ('ReLU', 1967, 0), ('linear', 1513, 2977584), ('ReLU', 1513, 0), ('linear', 1059, 1603326), ('ReLU', 1059, 0), ('linear', 605, 641300), ('ReLU', 605, 0), ('linear', 605, 366630)]",ReLU,28143,39486396,623,2271,63.51898734177215,0.6080649350649352,0.5757567567567566,0.21135135135135136,0.41120833333333345
input:2477_output:163_depth:3_arch:bottleneck_batch:654.out,5,"[('linear', 1238, 3067764), ('ReLU', 1238, 0), ('linear', 619, 766941), ('ReLU', 619, 0), ('linear', 309, 191580), ('ReLU', 309, 0), ('linear', 163, 50530), ('ReLU', 163, 0), ('linear', 163, 26732)]",ReLU,4821,4103547,654,1559,35.87179487179487,0.30834615384615377,0.23378260869565212,0.044550724637681186,0.16836923076923083
input:2643_output:140_depth:4_arch:gradual_batch:860.out,5,"[('linear', 2018, 5335592), ('ReLU', 2018, 0), ('linear', 1393, 2812467), ('ReLU', 1393, 0), ('linear', 768, 1070592), ('ReLU', 768, 0), ('linear', 143, 109967), ('ReLU', 143, 0), ('linear', 140, 20160)]",ReLU,8784,9348778,860,1683,35.85897435897436,0.3169999999999998,0.2897313432835822,0.08902985074626868,0.21668656716417914
input:1119_output:86_depth:3_arch:bottleneck_batch:208.out,5,"[('linear', 559, 626080), ('ReLU', 559, 0), ('linear', 279, 156240), ('ReLU', 279, 0), ('linear', 139, 38920), ('ReLU', 139, 0), ('linear', 86, 12040), ('ReLU', 86, 0), ('linear', 86, 7482)]",ReLU,2212,840762,208,1477,34.38461538461539,0.3190769230769231,0.08879411764705887,0.011632352941176477,0.03589855072463766
input:2520_output:46_depth:7_arch:gradual_batch:802.out,8,"[('linear', 2167, 5463007), ('ReLU', 2167, 0), ('linear', 1814, 3932752), ('ReLU', 1814, 0), ('linear', 1461, 2651715), ('ReLU', 1461, 0), ('linear', 1108, 1619896), ('ReLU', 1108, 0), ('linear', 755, 837295), ('ReLU', 755, 0), ('linear', 402, 303912), ('ReLU', 402, 0), ('linear', 49, 19747), ('ReLU', 49, 0), ('linear', 46, 2300)]",ReLU,15558,14830624,802,1793,44.285714285714285,0.40425974025974015,0.37876470588235295,0.10952941176470592,0.26244927536231877
input:1316_output:68_depth:9_arch:gradual_batch:362.out,10,"[('linear', 1178, 1551426), ('ReLU', 1178, 0), ('linear', 1040, 1226160), ('ReLU', 1040, 0), ('linear', 902, 938982), ('ReLU', 902, 0), ('linear', 764, 689892), ('ReLU', 764, 0), ('linear', 626, 478890), ('ReLU', 626, 0), ('linear', 488, 305976), ('ReLU', 488, 0), ('linear', 350, 171150), ('ReLU', 350, 0), ('linear', 212, 74412), ('ReLU', 212, 0), ('linear', 74, 15762), ('ReLU', 74, 0), ('linear', 68, 5100)]",ReLU,11336,5457750,362,1579,36.90909090909091,0.34657142857142853,0.241943661971831,0.05907042253521123,0.13832394366197187
input:1560_output:221_depth:6_arch:bottleneck_batch:738.out,8,"[('linear', 780, 1217580), ('ReLU', 780, 0), ('linear', 390, 304590), ('ReLU', 390, 0), ('linear', 221, 86411), ('ReLU', 221, 0), ('linear', 221, 49062), ('ReLU', 221, 0), ('linear', 221, 49062), ('ReLU', 221, 0), ('linear', 221, 49062), ('ReLU', 221, 0), ('linear', 221, 49062), ('ReLU', 221, 0), ('linear', 221, 49062)]",ReLU,4771,1853891,738,1501,30.21794871794872,0.26420779220779217,0.15667692307692307,0.02936923076923078,0.09683333333333337
