Filename,Depth,Activations-Params,Activation Function,Total Activations,Total Parameters,Batch Size,Batch Normalization Layers,Dropout Layers,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A
input:2346_output:197_depth:2_arch:pyramid_batch:996_act:relu_dropout:0.3382392352475416_dropout:True_batchnorm:True.out,3,"[(1173, 2753031), (1173, 2346), (1173, 0), (1173, 0), (586, 687964), (586, 1172), (586, 0), (586, 0), (197, 115639), (197, 0)]",ReLU,7430,3560152,996,2,2,1545,29.761904761904763,0.25809523809523816,0.2006923076923077,0.05038461538461537,0.14996296296296302
input:1873_output:453_depth:8_arch:pyramid_batch:939_act:softplus_dropout:0.1748465288359581_dropout:True_batchnorm:False.out,9,"[(936, 1754064), (936, 0), (936, 0), (468, 438516), (468, 0), (468, 0), (453, 212457), (453, 0), (453, 0), (453, 205662), (453, 0), (453, 0), (453, 205662), (453, 0), (453, 0), (453, 205662), (453, 0), (453, 0), (453, 205662), (453, 0), (453, 0), (453, 205662), (453, 0), (453, 0), (453, 205662), (453, 0)]",Softplus,13272,3639009,939,0,8,1569,34.317460317460316,0.3149032258064516,0.22605769230769232,0.05576923076923078,0.15026415094339618
input:1230_output:172_depth:9_arch:pyramid_batch:873_act:gelu_dropout:0.2792865327906022_dropout:False_batchnorm:False.out,10,"[(615, 757065), (615, 0), (307, 189112), (307, 0), (172, 52976), (172, 0), (172, 29756), (172, 0), (172, 29756), (172, 0), (172, 29756), (172, 0), (172, 29756), (172, 0), (172, 29756), (172, 0), (172, 29756), (172, 0), (172, 29756), (172, 0)]",GELU,4596,1207445,873,0,0,1507,27.095238095238095,0.2321774193548387,0.12028301886792456,0.019301886792452837,0.07090740740740743
input:591_output:45_depth:2_arch:bottleneck_batch:518_act:mish_dropout:0.33756387363716606_dropout:False_batchnorm:True.out,4,"[(295, 174640), (295, 590), (295, 0), (147, 43512), (147, 294), (147, 0), (73, 10804), (73, 146), (73, 0), (45, 3330), (45, 0)]",Mish,1635,233316,518,3,0,1457,20.50793650793651,0.19212903225806452,0.0448076923076923,0.005730769230769234,0.016865384615384626
input:3742_output:73_depth:10_arch:uniform_batch:983_act:selu_dropout:0.3301430140240789_dropout:False_batchnorm:False.out,11,"[(3742, 14006306), (3742, 0), (3742, 14006306), (3742, 0), (3742, 14006306), (3742, 0), (3742, 14006306), (3742, 0), (3742, 14006306), (3742, 0), (3742, 14006306), (3742, 0), (3742, 14006306), (3742, 0), (3742, 14006306), (3742, 0), (3742, 14006306), (3742, 0), (3742, 14006306), (3742, 0), (73, 273239), (73, 0)]",SELU,74986,140336299,983,0,0,4505,82.98387096774194,0.805225806451613,0.8051785714285715,0.3063928571428571,0.6247142857142858
input:2615_output:218_depth:6_arch:bottleneck_batch:827_act:elu_dropout:0.3891392125918064_dropout:False_batchnorm:False.out,8,"[(1307, 3419112), (1307, 0), (653, 854124), (653, 0), (326, 213204), (326, 0), (218, 71286), (218, 0), (218, 47742), (218, 0), (218, 47742), (218, 0), (218, 47742), (218, 0), (218, 47742), (218, 0)]",ELU,6752,4748694,827,0,0,1577,36.03174603174603,0.3074444444444445,0.2553636363636364,0.05745454545454546,0.17521052631578954
input:327_output:46_depth:9_arch:uniform_batch:503_act:mish_dropout:0.25869711671604523_dropout:False_batchnorm:True.out,10,"[(327, 107256), (327, 654), (327, 0), (327, 107256), (327, 654), (327, 0), (327, 107256), (327, 654), (327, 0), (327, 107256), (327, 654), (327, 0), (327, 107256), (327, 654), (327, 0), (327, 107256), (327, 654), (327, 0), (327, 107256), (327, 654), (327, 0), (327, 107256), (327, 654), (327, 0), (327, 107256), (327, 654), (327, 0), (46, 15088), (46, 0)]",Mish,8921,986278,503,9,0,1483,36.0,0.35149206349206363,0.1376730769230769,0.016519230769230783,0.05850943396226414
input:280_output:12_depth:7_arch:gradual_batch:358_act:tanh_dropout:0.3964663380569271_dropout:True_batchnorm:True.out,8,"[(242, 68002), (242, 484), (242, 0), (242, 0), (204, 49572), (204, 408), (204, 0), (204, 0), (166, 34030), (166, 332), (166, 0), (166, 0), (128, 21376), (128, 256), (128, 0), (128, 0), (90, 11610), (90, 180), (90, 0), (90, 0), (52, 4732), (52, 104), (52, 0), (52, 0), (14, 742), (14, 28), (14, 0), (14, 0), (12, 180), (12, 0)]",Tanh,3608,192036,358,7,7,1457,29.206349206349206,0.2842741935483869,0.04836538461538461,0.005711538461538464,0.010560000000000005
input:2162_output:397_depth:9_arch:bottleneck_batch:166_act:elu_dropout:0.44882669227958527_dropout:True_batchnorm:True.out,11,"[(1081, 2338203), (1081, 2162), (1081, 0), (1081, 0), (540, 584280), (540, 1080), (540, 0), (540, 0), (397, 214777), (397, 794), (397, 0), (397, 0), (397, 158006), (397, 794), (397, 0), (397, 0), (397, 158006), (397, 794), (397, 0), (397, 0), (397, 158006), (397, 794), (397, 0), (397, 0), (397, 158006), (397, 794), (397, 0), (397, 0), (397, 158006), (397, 794), (397, 0), (397, 0), (397, 158006), (397, 794), (397, 0), (397, 0), (397, 158006), (397, 794), (397, 0), (397, 0), (397, 158006), (397, 0)]",ELU,19982,4410902,166,10,10,1547,37.57142857142857,0.356095238095238,0.16192592592592595,0.02344444444444446,0.060962962962962934
input:2865_output:474_depth:7_arch:bottleneck_batch:538_act:elu_dropout:0.3464765453028342_dropout:False_batchnorm:True.out,9,"[(1432, 4104112), (1432, 2864), (1432, 0), (716, 1026028), (716, 1432), (716, 0), (474, 339858), (474, 948), (474, 0), (474, 225150), (474, 948), (474, 0), (474, 225150), (474, 948), (474, 0), (474, 225150), (474, 948), (474, 0), (474, 225150), (474, 948), (474, 0), (474, 225150), (474, 948), (474, 0), (474, 225150), (474, 0)]",ELU,15924,6830882,538,8,0,1627,36.225806451612904,0.3223387096774195,0.23575,0.05133928571428569,0.1452857142857142
